presFesto-1 [V]	AWM5-5 [V]	MPX700-2 [V]
5.005	1.061	0.016
5.003	1.060	0.016
5.004	1.060	0.016
5.005	1.060	0.016
5.005	1.061	0.016
5.003	1.060	0.016
5.003	1.060	0.016
5.005	1.061	0.016
5.004	1.061	0.016
5.003	1.061	0.016
5.004	1.060	0.016
5.005	1.061	0.016
5.004	1.060	0.016
5.004	1.061	0.016
5.004	1.060	0.016
5.002	1.060	0.016
5.001	1.061	0.016
5.003	1.060	0.016
5.006	1.060	0.016
5.003	1.061	0.016
5.001	1.060	0.016
5.005	1.060	0.016
5.005	1.061	0.016
5.005	1.061	0.016
5.003	1.061	0.016
5.005	1.060	0.016
5.005	1.060	0.016
5.005	1.060	0.016
5.002	1.060	0.016
5.004	1.060	0.016
5.005	1.061	0.016
5.002	1.061	0.016
5.005	1.060	0.016
5.000	1.060	0.016
5.002	1.060	0.016
5.001	1.061	0.016
5.002	1.061	0.016
5.003	1.060	0.016
5.002	1.061	0.016
5.001	1.060	0.016
5.004	1.061	0.016
5.004	1.060	0.016
5.006	1.060	0.015
4.999	1.061	0.016
5.003	1.060	0.016
5.002	1.060	0.016
5.003	1.060	0.016
5.005	1.060	0.016
5.003	1.060	0.016
5.004	1.061	0.016
5.005	1.060	0.016
5.003	1.061	0.016
5.004	1.061	0.016
5.003	1.061	0.016
5.003	1.061	0.016
5.004	1.061	0.016
5.005	1.061	0.017
5.004	1.060	0.016
5.005	1.060	0.016
5.004	1.061	0.016
5.003	1.061	0.016
5.003	1.060	0.016
5.002	1.061	0.016
5.000	1.060	0.016
5.001	1.060	0.016
5.004	1.061	0.016
5.004	1.061	0.016
5.006	1.061	0.017
5.005	1.061	0.016
5.001	1.060	0.016
5.001	1.060	0.016
5.004	1.059	0.016
5.002	1.060	0.016
5.005	1.060	0.016
5.006	1.060	0.017
5.004	1.060	0.016
5.005	1.060	0.016
5.005	1.060	0.016
5.005	1.060	0.016
5.006	1.060	0.017
5.003	1.061	0.016
5.003	1.061	0.016
5.002	1.060	0.016
5.003	1.061	0.016
5.005	1.061	0.016
5.004	1.060	0.016
5.004	1.060	0.016
5.003	1.060	0.017
5.004	1.060	0.016
5.003	1.060	0.016
5.002	1.061	0.016
5.001	1.061	0.016
5.003	1.060	0.016
5.003	1.061	0.016
5.003	1.061	0.016
5.004	1.060	0.017
5.006	1.061	0.017
5.002	1.060	0.016
5.003	1.061	0.016
5.002	1.060	0.016
5.005	1.060	0.016
5.003	1.060	0.016
5.003	1.060	0.016
5.005	1.060	0.016
5.004	1.061	0.016
5.004	1.061	0.016
5.004	1.061	0.016
5.003	1.061	0.016
5.002	1.061	0.016
5.002	1.061	0.017
5.004	1.061	0.016
5.004	1.060	0.016
5.004	1.061	0.017
5.004	1.060	0.016
5.005	1.061	0.017
5.001	1.061	0.016
5.001	1.060	0.017
5.002	1.061	0.016
5.002	1.061	0.016
5.003	1.060	0.016
5.001	1.060	0.016
5.002	1.060	0.016
5.003	1.060	0.016
5.003	1.061	0.016
5.002	1.060	0.016
5.002	1.060	0.016
5.001	1.060	0.016
5.004	1.060	0.016
5.002	1.061	0.016
5.003	1.060	0.016
5.005	1.060	0.016
5.005	1.060	0.016
5.003	1.060	0.016
5.004	1.060	0.016
5.005	1.060	0.016
5.003	1.060	0.016
5.002	1.061	0.016
5.004	1.060	0.015
5.006	1.060	0.016
5.003	1.061	0.016
5.002	1.061	0.016
5.004	1.060	0.016
5.004	1.060	0.016
5.004	1.060	0.016
5.001	1.060	0.017
5.003	1.060	0.016
5.004	1.061	0.016
5.005	1.060	0.016
5.002	1.061	0.016
5.004	1.061	0.016
5.002	1.061	0.016
5.002	1.061	0.016
5.002	1.060	0.016
5.004	1.060	0.016
5.003	1.060	0.017
5.003	1.061	0.016
5.005	1.060	0.016
5.005	1.060	0.016
5.004	1.061	0.016
5.003	1.061	0.016
5.003	1.060	0.016
5.002	1.060	0.016
5.003	1.060	0.017
5.005	1.060	0.017
5.004	1.060	0.016
5.005	1.060	0.017
5.005	1.061	0.016
5.005	1.061	0.016
5.004	1.060	0.017
5.004	1.061	0.016
5.002	1.061	0.017
5.004	1.060	0.016
5.002	1.061	0.016
5.003	1.061	0.017
5.004	1.060	0.016
5.004	1.061	0.017
5.001	1.061	0.016
5.004	1.060	0.016
5.004	1.061	0.016
5.003	1.062	0.016
5.003	1.061	0.017
5.004	1.060	0.016
5.004	1.060	0.017
5.005	1.061	0.016
5.006	1.061	0.016
5.004	1.061	0.017
5.004	1.062	0.016
5.003	1.061	0.016
5.003	1.062	0.016
5.001	1.061	0.016
5.004	1.061	0.016
5.004	1.062	0.016
5.002	1.061	0.016
5.005	1.061	0.016
5.002	1.061	0.016
5.002	1.062	0.017
5.003	1.062	0.017
5.002	1.061	0.016
5.001	1.061	0.016
5.001	1.061	0.017
5.000	1.061	0.017
5.004	1.060	0.017
5.003	1.061	0.017
5.003	1.061	0.016
5.005	1.061	0.017
5.002	1.061	0.017
5.004	1.061	0.016
5.002	1.061	0.017
5.002	1.061	0.016
5.004	1.061	0.017
5.004	1.060	0.017
5.006	1.061	0.016
5.003	1.061	0.016
5.003	1.061	0.017
5.001	1.060	0.017
5.003	1.060	0.016
5.004	1.061	0.017
5.002	1.061	0.016
5.004	1.060	0.016
5.004	1.060	0.017
5.004	1.061	0.016
5.001	1.061	0.017
5.001	1.060	0.016
5.004	1.061	0.016
5.002	1.061	0.017
5.002	1.061	0.016
5.001	1.061	0.016
5.002	1.060	0.017
5.004	1.061	0.016
5.006	1.061	0.016
5.004	1.061	0.016
5.004	1.061	0.017
5.004	1.061	0.016
5.001	1.061	0.016
5.003	1.061	0.017
5.005	1.060	0.016
5.004	1.061	0.016
5.006	1.061	0.016
5.006	1.061	0.017
5.005	1.061	0.016
5.001	1.061	0.017
5.002	1.061	0.016
5.002	1.060	0.016
5.004	1.061	0.016
5.002	1.060	0.016
5.003	1.060	0.017
5.001	1.061	0.017
5.003	1.060	0.016
5.003	1.060	0.017
5.001	1.061	0.016
4.999	1.060	0.016
5.002	1.060	0.017
5.003	1.060	0.017
5.002	1.061	0.017
5.004	1.061	0.017
5.003	1.061	0.016
5.003	1.061	0.017
5.004	1.060	0.017
5.004	1.061	0.016
5.002	1.061	0.017
5.004	1.061	0.016
5.005	1.060	0.016
5.002	1.060	0.016
5.002	1.061	0.017
5.003	1.060	0.016
5.005	1.061	0.016
5.003	1.061	0.017
5.005	1.060	0.017
5.006	1.061	0.017
5.003	1.061	0.016
5.005	1.061	0.017
5.002	1.061	0.017
5.004	1.060	0.017
5.003	1.061	0.016
5.001	1.061	0.017
5.005	1.061	0.016
5.005	1.061	0.016
5.003	1.061	0.017
5.003	1.060	0.017
5.002	1.061	0.017
5.001	1.060	0.016
5.002	1.061	0.016
5.001	1.060	0.017
5.004	1.061	0.016
5.004	1.061	0.016
5.001	1.061	0.016
5.005	1.060	0.017
5.001	1.061	0.016
5.004	1.060	0.017
5.001	1.061	0.017
5.003	1.060	0.017
5.004	1.060	0.016
5.003	1.060	0.016
5.005	1.060	0.017
5.005	1.060	0.017
5.006	1.061	0.016
5.003	1.060	0.017
