
0,0.51,2.92,42.57,693
1,0.51,2.83,26.45,528
3,0.51,2.83,25.31,515
5,0.49,1.30,23.30,492
6,0.51,3.83,24.78,509
8,0.50,3.01,24.52,506
10,0.50,3.10,24.87,510
11,0.50,2.56,25.13,513
13,0.50,3.74,24.26,503
14,0.50,3.46,25.13,513
16,0.50,2.29,23.82,498
18,0.50,2.47,24.00,500
19,0.50,2.38,24.08,501
21,0.50,2.83,24.35,504
23,0.50,2.74,24.61,507
24,0.51,4.91,24.87,510
26,0.51,4.46,25.13,513
27,0.50,1.48,24.00,500
29,0.49,1.75,23.65,496
31,0.49,1.66,23.65,496
32,0.51,3.64,25.57,518
34,0.48,0.94,23.13,490
36,0.48,1.03,22.53,483
37,0.49,1.21,23.39,493
39,0.49,1.21,23.56,495
40,0.49,1.30,23.04,489
42,0.48,1.57,23.30,492
44,0.49,3.64,23.65,496
45,0.49,2.83,24.00,500
47,0.49,2.65,23.56,495
49,0.49,3.01,23.65,496
50,0.48,2.38,23.82,498
52,0.49,2.29,23.56,495
53,0.49,2.11,23.82,498
55,0.49,2.02,23.65,496
57,0.49,2.02,24.00,500
58,0.49,1.93,24.00,500
60,0.49,2.11,23.82,498
61,0.49,2.20,24.00,500
63,0.49,2.20,23.82,498
65,0.49,2.29,23.82,498
66,0.49,2.38,23.82,498
68,0.49,2.56,23.82,498
70,0.49,2.20,23.82,498
71,0.49,2.47,23.82,498
73,0.49,2.38,23.82,498
74,0.49,2.20,23.82,498
76,0.49,2.02,23.65,496
78,0.49,1.93,23.65,496
79,0.49,1.84,23.65,496
81,0.49,1.93,23.65,496
83,0.49,2.02,23.56,495
84,0.49,2.11,23.65,496
86,0.49,2.02,23.65,496
87,0.49,2.02,23.65,496
89,0.49,1.93,23.56,495
91,0.49,2.02,23.56,495
92,0.49,2.02,23.39,493
94,0.49,1.93,23.56,495
96,0.49,1.93,23.65,496
97,0.49,2.02,23.56,495
99,0.49,1.93,23.56,495
100,0.49,1.93,23.56,495
102,0.49,1.93,23.56,495
104,0.49,1.84,23.56,495
105,0.49,1.84,23.56,495
107,0.49,1.84,23.56,495
109,0.49,1.66,23.56,495
110,0.49,1.66,23.39,493
112,0.49,1.57,23.39,493
113,0.49,1.66,23.39,493
115,0.49,1.66,23.39,493
117,0.49,1.66,23.39,493
118,0.49,1.66,23.39,493
120,0.49,1.75,23.56,495
121,0.49,1.75,23.39,493
123,0.49,1.75,23.56,495
125,0.49,1.75,23.39,493
126,0.49,1.66,23.39,493
128,0.49,1.57,23.39,493
130,0.49,1.66,23.39,493
131,0.49,1.57,23.39,493
