presFesto5-1 [V]	AWM5-5 [V]	MPX700-2 [V]
1.707	1.214	0.017
1.709	1.214	0.018
1.711	1.215	0.018
1.710	1.215	0.017
1.706	1.214	0.017
1.705	1.214	0.018
1.708	1.214	0.018
1.709	1.214	0.018
1.705	1.214	0.018
1.706	1.215	0.018
1.705	1.214	0.018
1.711	1.214	0.017
1.708	1.214	0.017
1.706	1.214	0.018
1.710	1.214	0.018
1.706	1.213	0.017
1.708	1.214	0.018
1.712	1.214	0.017
1.709	1.214	0.017
1.708	1.214	0.018
1.704	1.214	0.018
1.705	1.214	0.018
1.711	1.214	0.018
1.709	1.214	0.018
1.709	1.214	0.018
1.708	1.214	0.018
1.710	1.214	0.018
1.708	1.214	0.018
1.705	1.213	0.017
1.708	1.214	0.018
1.708	1.214	0.018
1.704	1.213	0.018
1.707	1.214	0.018
1.707	1.214	0.018
1.707	1.215	0.018
1.707	1.214	0.018
1.708	1.214	0.018
1.707	1.214	0.018
1.707	1.213	0.017
1.707	1.214	0.018
1.709	1.215	0.018
1.707	1.214	0.018
1.707	1.214	0.018
1.704	1.214	0.017
1.710	1.214	0.018
1.709	1.214	0.018
1.712	1.214	0.018
1.707	1.215	0.017
1.708	1.214	0.018
1.706	1.214	0.018
1.707	1.214	0.017
1.707	1.214	0.017
1.708	1.213	0.017
1.710	1.214	0.018
1.711	1.214	0.018
1.706	1.214	0.017
1.708	1.213	0.018
1.706	1.214	0.017
1.709	1.214	0.018
1.705	1.214	0.018
1.704	1.214	0.018
1.706	1.215	0.017
1.708	1.214	0.017
1.708	1.214	0.017
1.706	1.214	0.017
1.705	1.214	0.018
1.710	1.214	0.018
1.709	1.214	0.017
1.709	1.214	0.018
1.709	1.214	0.018
1.706	1.215	0.018
1.707	1.214	0.018
1.707	1.214	0.018
1.704	1.213	0.018
1.708	1.214	0.018
1.711	1.214	0.018
1.708	1.214	0.017
1.707	1.214	0.018
1.705	1.214	0.018
1.708	1.214	0.017
1.708	1.214	0.018
1.710	1.214	0.018
1.707	1.214	0.017
1.708	1.215	0.018
1.707	1.214	0.018
1.703	1.214	0.018
1.708	1.214	0.018
1.709	1.215	0.018
1.707	1.214	0.018
1.704	1.214	0.018
1.705	1.214	0.018
1.710	1.215	0.018
1.707	1.214	0.018
1.706	1.215	0.018
1.706	1.214	0.018
1.709	1.214	0.018
1.708	1.214	0.018
1.706	1.213	0.018
1.708	1.213	0.018
1.706	1.214	0.018
1.707	1.214	0.018
1.707	1.214	0.018
1.711	1.213	0.018
1.710	1.214	0.017
1.710	1.214	0.018
1.708	1.214	0.017
1.706	1.214	0.018
1.710	1.214	0.017
1.707	1.215	0.018
1.712	1.215	0.018
1.708	1.214	0.018
1.707	1.214	0.018
1.707	1.214	0.017
1.709	1.214	0.018
1.707	1.214	0.018
1.708	1.214	0.018
1.706	1.214	0.018
1.705	1.214	0.018
1.710	1.214	0.018
1.707	1.214	0.018
1.705	1.214	0.018
1.703	1.213	0.018
1.710	1.214	0.018
1.708	1.214	0.018
1.706	1.215	0.018
1.706	1.214	0.018
1.707	1.214	0.018
1.712	1.214	0.017
1.708	1.215	0.017
1.710	1.215	0.018
1.710	1.214	0.018
1.705	1.214	0.018
1.708	1.214	0.017
1.706	1.214	0.018
1.706	1.214	0.017
1.706	1.214	0.018
1.711	1.213	0.017
1.707	1.214	0.017
1.707	1.214	0.018
1.706	1.214	0.018
1.710	1.214	0.018
1.709	1.214	0.018
1.706	1.214	0.017
1.707	1.214	0.018
1.707	1.214	0.017
1.706	1.214	0.018
1.707	1.214	0.018
1.706	1.214	0.017
1.707	1.214	0.018
1.709	1.213	0.018
1.708	1.213	0.017
1.707	1.214	0.018
1.707	1.214	0.017
1.705	1.213	0.018
1.712	1.213	0.017
1.710	1.214	0.017
1.709	1.214	0.018
1.708	1.214	0.018
1.709	1.214	0.017
1.709	1.213	0.018
1.707	1.212	0.018
1.705	1.213	0.018
1.710	1.214	0.018
1.710	1.214	0.018
1.706	1.214	0.018
1.706	1.214	0.018
1.706	1.213	0.018
1.704	1.214	0.017
1.708	1.214	0.018
1.708	1.214	0.018
1.705	1.213	0.018
1.706	1.213	0.017
1.709	1.214	0.017
1.706	1.213	0.017
1.705	1.214	0.018
1.706	1.214	0.018
1.706	1.214	0.018
1.708	1.214	0.018
1.708	1.215	0.018
1.708	1.214	0.018
1.708	1.214	0.018
1.707	1.214	0.018
1.707	1.214	0.018
1.707	1.214	0.018
1.709	1.214	0.018
1.711	1.214	0.018
1.711	1.214	0.017
1.709	1.214	0.018
1.706	1.214	0.017
1.707	1.214	0.017
1.706	1.213	0.018
1.710	1.214	0.018
1.709	1.213	0.018
1.706	1.214	0.018
1.706	1.214	0.018
1.705	1.213	0.017
1.707	1.213	0.018
1.705	1.213	0.018
1.708	1.213	0.018
1.706	1.214	0.018
1.707	1.214	0.018
1.708	1.214	0.018
1.707	1.214	0.018
1.705	1.214	0.018
1.710	1.214	0.018
1.710	1.214	0.018
1.710	1.213	0.018
1.708	1.214	0.017
1.709	1.214	0.018
1.710	1.214	0.018
1.706	1.214	0.018
1.706	1.213	0.018
1.708	1.214	0.018
1.711	1.214	0.018
1.705	1.214	0.018
1.709	1.213	0.018
1.709	1.213	0.017
1.706	1.214	0.018
1.704	1.214	0.018
1.708	1.214	0.018
1.708	1.213	0.018
1.707	1.214	0.017
1.709	1.214	0.018
1.706	1.214	0.018
1.706	1.214	0.018
1.705	1.214	0.018
1.709	1.214	0.018
1.705	1.214	0.018
1.707	1.214	0.018
1.706	1.213	0.017
1.707	1.214	0.018
1.704	1.214	0.018
1.707	1.213	0.017
1.705	1.213	0.017
1.708	1.213	0.018
1.705	1.213	0.017
1.707	1.214	0.018
1.705	1.213	0.017
1.706	1.214	0.018
1.706	1.214	0.018
1.706	1.214	0.017
1.711	1.214	0.018
1.707	1.214	0.017
1.709	1.214	0.018
1.706	1.214	0.017
1.708	1.214	0.018
1.707	1.214	0.018
1.707	1.214	0.018
1.711	1.214	0.017
1.707	1.213	0.018
1.706	1.214	0.017
1.706	1.213	0.018
1.707	1.214	0.018
1.704	1.213	0.018
1.710	1.213	0.017
1.706	1.213	0.018
1.706	1.213	0.017
1.706	1.214	0.017
1.706	1.214	0.017
1.707	1.214	0.018
1.706	1.214	0.018
1.708	1.214	0.018
1.708	1.214	0.018
1.706	1.214	0.018
1.706	1.213	0.018
1.708	1.215	0.018
1.709	1.213	0.018
1.708	1.214	0.018
1.707	1.214	0.018
1.708	1.213	0.018
1.706	1.213	0.017
1.709	1.214	0.018
1.709	1.213	0.018
1.710	1.213	0.018
1.710	1.213	0.018
1.706	1.213	0.018
1.707	1.214	0.017
1.709	1.213	0.018
1.707	1.213	0.018
1.703	1.213	0.017
1.707	1.213	0.018
1.709	1.214	0.018
1.705	1.213	0.018
1.707	1.213	0.018
1.704	1.214	0.017
1.704	1.213	0.017
1.705	1.214	0.018
1.706	1.213	0.018
1.706	1.214	0.018
1.710	1.213	0.018
1.708	1.214	0.018
1.706	1.213	0.018
1.706	1.213	0.017
1.707	1.213	0.018
1.709	1.213	0.018
1.706	1.213	0.018
1.708	1.213	0.017
1.707	1.213	0.018
1.706	1.213	0.017
1.707	1.214	0.018
1.709	1.213	0.018
1.705	1.213	0.018
1.707	1.213	0.018
1.706	1.214	0.018
1.707	1.214	0.017
1.708	1.214	0.018
1.705	1.213	0.018
1.705	1.213	0.018
1.703	1.214	0.018
1.706	1.213	0.018
1.703	1.213	0.018
1.706	1.213	0.018
1.704	1.213	0.018
1.705	1.214	0.017
1.702	1.213	0.018
1.703	1.214	0.018
1.705	1.214	0.018
1.705	1.213	0.018
1.705	1.213	0.018
1.707	1.213	0.017
1.710	1.213	0.017
1.707	1.213	0.017
1.708	1.213	0.018
1.707	1.214	0.018
1.707	1.213	0.018
1.709	1.213	0.018
1.708	1.213	0.018
1.707	1.214	0.018
1.706	1.214	0.017
1.706	1.214	0.018
1.707	1.213	0.018
1.709	1.213	0.018
1.709	1.214	0.017
1.706	1.213	0.018
1.708	1.214	0.018
1.708	1.213	0.018
1.707	1.213	0.018
1.709	1.213	0.017
1.708	1.213	0.018
1.707	1.213	0.018
1.709	1.213	0.017
1.709	1.213	0.018
1.704	1.213	0.018
1.709	1.214	0.018
1.705	1.213	0.018
1.705	1.213	0.018
1.708	1.214	0.018
1.710	1.214	0.018
1.706	1.213	0.018
1.707	1.213	0.018
1.710	1.214	0.017
1.709	1.213	0.018
1.707	1.213	0.018
1.707	1.213	0.018
1.705	1.213	0.018
1.709	1.213	0.018
1.704	1.212	0.018
1.711	1.212	0.018
1.708	1.213	0.017
1.708	1.213	0.017
1.707	1.213	0.018
1.705	1.214	0.018
1.705	1.213	0.017
1.712	1.214	0.018
1.706	1.214	0.018
1.707	1.213	0.017
1.708	1.214	0.018
1.706	1.213	0.018
1.708	1.213	0.017
1.705	1.213	0.017
1.705	1.213	0.017
1.705	1.213	0.018
1.707	1.213	0.018
1.709	1.213	0.018
1.706	1.213	0.018
1.706	1.212	0.018
1.706	1.213	0.017
1.708	1.213	0.018
1.710	1.213	0.018
1.705	1.214	0.018
1.705	1.212	0.018
1.707	1.212	0.017
1.708	1.213	0.017
1.707	1.214	0.018
1.706	1.213	0.018
1.707	1.213	0.018
1.707	1.213	0.018
1.709	1.213	0.018
1.708	1.213	0.017
1.708	1.213	0.018
1.706	1.213	0.018
1.706	1.213	0.018
1.705	1.213	0.018
1.708	1.213	0.018
1.707	1.212	0.018
1.704	1.212	0.018
1.706	1.213	0.017
1.708	1.213	0.017
1.710	1.213	0.018
1.707	1.213	0.018
1.703	1.213	0.018
1.706	1.213	0.017
1.704	1.213	0.018
1.709	1.213	0.017
1.708	1.213	0.018
1.707	1.214	0.017
1.705	1.213	0.018
1.704	1.212	0.017
1.710	1.213	0.018
1.707	1.213	0.018
1.708	1.212	0.018
1.709	1.213	0.018
1.711	1.213	0.018
1.708	1.213	0.018
